Match Date	23-Mar-2019	24-Mar-2019	25-Mar-2019	26-Mar-2019	27-Mar-2019	28-Mar-2019	29-Mar-2019	30-Mar-2019	31-Mar-2019	01-Apr-2019	02-Apr-2019	03-Apr-2019	04-Apr-2019	05-Apr-2019	06-Apr-2019	07-Apr-2019	08-Apr-2019	09-Apr-2019	10-Apr-2019	11-Apr-2019	12-Apr-2019	13-Apr-2019	14-Apr-2019	15-Apr-2019	16-Apr-2019	17-Apr-2019	18-Apr-2019	19-Apr-2019	20-Apr-2019	21-Apr-2019	22-Apr-2019	23-Apr-2019	24-Apr-2019	25-Apr-2019	26-Apr-2019	27-Apr-2019	28-Apr-2019	29-Apr-2019	30-Apr-2019	01-May-2019	02-May-2019	03-May-2019	04-May-2019	05-May-2019	07-May-2019	08-May-2019	10-May-2019	12-May-2019
Super Kings	1	1	1	2	2	2	2	2	3	3	3	3	3	3	4	4	4	5	5	6	6	6	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	10	10
KKR	0	1	1	1	2	2	2	2	2	2	2	2	2	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	6	6
Capitals	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	4	4	4	4	4	4	5	5	6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	9	9	9
Kings XI	0	0	1	1	1	1	1	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6
Mum Indians	0	0	0	0	0	1	1	1	1	1	1	2	2	2	3	3	3	3	4	4	4	4	4	5	5	5	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	8	9	9	9	10
Sunrisers	0	0	0	0	0	0	1	1	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6
tied	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
Royals	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5
RCB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	3	3	3	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5
no result	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
