Date Announced	30-01-2020	02-02-2020	03-02-2020	02-03-2020	03-03-2020	04-03-2020	05-03-2020	06-03-2020	07-03-2020	08-03-2020	09-03-2020	10-03-2020	11-03-2020	12-03-2020	13-03-2020	14-03-2020	15-03-2020	16-03-2020	17-03-2020	18-03-2020	19-03-2020	20-03-2020	21-03-2020	22-03-2020	23-03-2020	24-03-2020	25-03-2020	26-03-2020	27-03-2020	28-03-2020	29-03-2020	30-03-2020	31-03-2020	01-04-2020	02-04-2020	03-04-2020	04-04-2020	05-04-2020	06-04-2020	07-04-2020	08-04-2020	09-04-2020	10-04-2020	11-04-2020	12-04-2020	13-04-2020	14-04-2020	15-04-2020	16-04-2020	17-04-2020	18-04-2020	19-04-2020	20-04-2020	21-04-2020	22-04-2020	23-04-2020	24-04-2020	25-04-2020
Kerala		1	1	1	0	0	0	0	0	0	5	1	8	0	2	3	0	2	3	0	0	1	12	12	15	28	14	9	19	39	6	20	32	7	24	21	9	11	8	13	8	9	12	7	10	2	3	8	1	7	1	4	2	6	0	0	19	11	0	0	10	3
Delhi		0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	2	1	3	6	7	1	2	0	5	4	1	9	23	25	23	32	141	93	59	58	22	51	93	51	183	166	85	356	51	17	62	67	186	110	78	0	0	75	92	0	0	128	138
Telangana		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	8	3	3	2	6	6	6	2	4	14	8	3	7	20	30	27	75	43	62	30	40	49	18	16	16	28	61	52	6	50	66	43	49	14	0	0	56	15	0	0	27	13
Rajasthan		0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	2	8	7	5	3	0	6	5	7	4	5	20	14	27	13	46	27	60	35	42	40	80	98	139	104	93	108	71	55	98	122	127	98	0	0	159	153	47	0	29	70
Haryana		0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	7	2	1	1	1	2	0	1	7	0	6	9	26	6	20	33	24	3	6	3	16	1	2	6	11	8	9	18	1	0	0	4	9	0	0	6	5
Uttar Pradesh		0	0	0	0	0	7	1	0	0	0	2	0	0	2	1	0	0	0	2	2	3	4	4	2	4	1	3	4	7	16	7	24	8	13	11	46	60	44	27	27	29	49	23	19	31	75	102	75	70	44	126	125	84	0	0	153	112	0	0	61	111
Ladakh		0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	5	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamil Nadu		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	3	6	8	3	9	4	8	17	57	110	75	102	74	86	50	69	48	96	77	58	106	98	31	38	25	56	49	105	43	0	0	76	33	0	0	54	72
Jammu and Kashmir		0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	5	3	6	13	5	11	6	7	8	5	17	14	3	16	33	26	23	17	21	25	8	22	14	14	13	13	14	0	0	12	27	0	0	27	20
Karnataka		0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	0	1	4	3	1	0	5	6	7	8	10	4	9	12	7	5	13	9	14	4	16	7	12	12	6	16	10	8	17	15	13	19	36	44	25	6	18	0	0	10	9	0	0	18	29
